person,category,type,description,text
Hermann_Finsterlin,painter,A,German architect and composer (1887-1973),"['Hermann Finsterlin (18 August 1887 – 16 September 1973) was a German visionary architect, painter, poet, essayist, toymaker and composer.', 'He played an influential role in the German expressionist architecture movement of the early 20th century but due to the harsh economic climate realised none of his projects.', 'By 1922, Finsterlin had withdrawn from the circle of expressionist architects as they moved towards the New Objectivity movement, he moved to Stuttgart to concentrate on painting and writing.', 'Finsterlin was born in Munich.', 'He originally studied medicine, physics and chemistry, and then later, philosophy and painting in Munich.']"
E._O._Plauen,painter,A,German cartoonist (1903-1944),"['E. O. Plauen (often stylized as e.o.plauen) was the pseudonym of Erich Ohser (March 18, 1903 – April 5, 1944) (some sources give his birth year as 1909), a German cartoonist best known for his strip Vater und Sohn (""Father and Son"").', 'Ohser was born in Untergettengrün, nowadays an outlying centre of Adorf, in the Vogtland.', 'When he was four years old, his family moved to Plauen (hence his choice of pseudonym).', 'He completed his studies at the Akademie für Graphische Künste und Buchgewerbe in Leipzig in 1928, and began work at the Sächsische Sozialdemokratische Presse.', 'In his work for such democratic magazines as Vorwärts, satirical representations of Joseph Goebbels and Adolf Hitler earned him the enmity of the Nazis, and he was prohibited from practicing his trade (Berufsverbot).']"
Alfred_Rethel,painter,A,German artist (1816-1859),"['Alfred Rethel (May 15, 1816 – December 1, 1859) was a German history painter.', 'Rethel was born in Aachen in 1816.', 'He showed an interest in art in his early life, and at the age of thirteen he executed a drawing which procured his admission to the academy of Düsseldorf.', 'Here he studied for several years, and produced, among other works, a figure of St Boniface, which attracted much attention.', 'At the age of twenty, Rethel moved to Frankfurt, and was selected to decorate the walls of the imperial hall in the Römer with Fresco paintings of figures of famous men.']"
Karl_Otto_Götz,painter,A,German artist (1914-2017),"['Karl Otto Götz (22 February 1914 – 19 August 2017) often simply called K.O.', 'Götz, was a German artist, filmmaker, draughtsman, printmaker, writer and professor of art at the Kunstakademie Düsseldorf.', 'He was one of the oldest living and active artists older than 100 years of age and is best remembered for his explosive and complex abstract forms.', 'His powerful, surrealist-inspired works earned him international recognition in exhibitions like documenta II in 1959.', 'Götz never confined himself to one specific style or artistic field.']"
Werner_Tübke,painter,A,German artist (1929-2004),"[""Werner Tübke (30 July 1929 in Schönebeck, Germany – 27 May 2004 in Leipzig, Germany) was a German painter, best known for his monumental Peasants' War Panorama located in Bad Frankenhausen."", 'He is ""one of the few East German artists who gained recognition in West Germany.""', ""Tübke's magnum opus, Early Bourgeois Revolution in Germany, has a size of 14 metres (46 ft) by 123 metres (404 ft)."", ""It depicts a scene from the German Peasants' War, which took place from 1524 to 1525.""]"
Daniel_Richter_(artist),painter,A,German painter,"['Daniel Richter (born 1962) is a German artist.', 'He is based in Berlin, and was previously been active in Hamburg.', 'He is known for large-scale oil paintings.', 'Daniel Richter was born in 1962 in Eutin, Germany.', 'Richter attended Hochschule für bildende Künste Hamburg from 1991–1995.']"
Friedrich_Sustris,painter,A,"German-Dutch painter, decorator and architect (1540-1599)","['Friedrich Sustris (c. 1540, in Padua – 1599, in Munich) was an Italian-Dutch painter, decorator and architect.', 'He was a son of the artist Lambert Sustris, who worked in Italy.', 'Sustris got his training from his father Lambert in Venice and Padua.', 'From 1563 to 1567 he was trained by Giorgio Vasari in Florence, after he had returned from a stay in Rome in 1560.', 'His first patron was Hans Fugger who ordered the decoration of the Fugger mansion in Venice.']"
Frank_Eugene,painter,A,American photographer (1865-1936),"['Frank Eugene (19 September 1865 – 16 December 1936) was an American-born photographer who was a founding member of the Photo-Secession and one of the first university-level professors of photography in the world.', 'Eugene was born in New York City as Frank Eugene Smith.', 'His father was Frederick Smith, a German baker who changed his last name from Schmid after moving to America in the late 1850s.', 'His mother was Hermine Selinger Smith, a singer who performed in local German beer halls and theaters.About 1880, Eugene began to photograph for amusement, possibly while he was attending the City College of New York.', 'In 1886, he moved to Munich in order to attend the Bavarian Academy of Fine Arts, where he studied drawing and stage design.']"
Otto_Umbehr,painter,A,German photographer and journalist (1902-1980),"['Umbo, born Otto Maximilian Umbehr (January 18, 1902 – May 13, 1980), was a German photographer.', 'Otto Umbehr was born in Düsseldorf and is known for his photo journalism as well as artworks.', 'Umbehr was the second of six children of industrial architect Karl Friedrich Umbehr.', 'His mother Frieda died when he was a young boy.', 'He was trained in Duisburg, Aachen and Düsseldorf.']"
Rogier_van_der_Weyden,painter,A,Early Netherlandish painter,"['Rogier van der Weyden (Dutch: [roːˈɣiːr vɑn dɛr ˈʋɛi̯də(n)]) or Roger de la Pasture (1399 or 1400 – 18 June 1464) was an Early Netherlandish painter whose surviving works consist mainly of religious triptychs, altarpieces and commissioned single and diptych portraits.', 'He was highly successful in his lifetime; his paintings were exported to Italy and Spain, and he received commissions from, amongst others, Philip the Good, Netherlandish nobility, and foreign princes.', 'By the latter half of the 15th century, he had eclipsed Jan van Eyck in popularity.', 'However his fame lasted only until the 17th century, and largely due to changing taste, he was almost totally forgotten by the mid-18th century.', 'His reputation was slowly rebuilt during the following 200 years; today he is known, with Robert Campin and van Eyck, as the third (by birth date) of the three great Early Flemish artists (Vlaamse Primitieven or ""Flemish Primitives""), and widely as the most influential Northern painter of the 15th century.Very few details of van der Weyden\'s life are known.']"
"Anthony_Günther,_Count_of_Oldenburg",painter,A,Imperial Count/member:House of Oldenburg (1583-1667),"['Anthony Günther, Count of Oldenburg (aka Anton Günther, 10 November 1583 – 19 June 1667) was an Imperial Count and a member of the House of Oldenburg  Günther was born in Oldenburg and was the ruling count of Oldenburg from 1603 until his death in Rastede, and of Delmenhorst from 1647 until his death.', 'He was the son of John VII (1540–1603) and Elisabeth of Schwarzburg-Blankenburg.', 'Anthony Günther married Sophie Catherine (28 June 1617 – 22 November 1696), a daughter of Alexander, Duke of Schleswig-Holstein-Sonderburg and Dorothea of Schwarzburg-Sondershausen.', 'S. Baring-Gould relates the following interesting anecdote about the count in his book ""Strange Survivals Some Chapters in the History of Man"": In 1615 Count Anthony Günther of Oldenburg, on visiting a dyke in process of construction, found the workmen about to bury an infant under it.', 'The count interfered, saved the child, reprimanded the dam-builders, and imprisoned the mother who had sold her babe for the purpose.']"
Paul_Schultze-Naumburg,painter,A,German architect (1869-1949),"['Paul Schultze-Naumburg (10 June 1869 – 19 May 1949) was a German traditionalist architect, painter, publicist and author.', 'A leading critic of modern architecture, he joined the NSDAP in 1930 (aged 61) and became an important advocate of Nazi architecture.', 'Schultze-Naumburg was born in Almrich (now part of Naumburg) in the current federal state of Saxony-Anhalt, and by 1900 was a well-known painter and architect, emerging as a more-conservative member of the group of artists who established the Jugendstil and the Arts and Crafts workshops in Munich.', 'His series of books the Kulturarbeiten (""Works of Culture""), nine volumes published 1900–1917, were extremely popular and established him as a major tastemaker for the German middle class.', 'By the First World War, he had become a major proponent of traditional architecture, an originator of the ""Circa 1800"" movement, and an important voice in both the Deutscher Werkbund and the nationalist German architecture and landscape preservation movement.']"
Master_of_the_Life_of_the_Virgin,painter,A,pseudonym given to a late Gothic German painter working in Cologne,"['The Master of the Life of the Virgin, in German the Meister des Marienlebens, (working ca.', '1463 — ca.', '1490), is the pseudonym given to a late Gothic German painter working in Cologne.', 'He can also be known as the Master of Wilten, or Johann van Duyren, an identification not universally accepted.His workshop is identified by his masterwork, a series of eight depictions of conventional scenes from the Life of the Virgin Mary, painted for the Ursulakirche, Cologne; seven are in the Alte Pinakothek, Munich, and one in the National Gallery, London, who also have the four outer panels from an altarpiece from Werden, whose central panel appears to be lost.', 'Further works recognizable by their style and handling are the Crucifixion of Christ for the hospital chapel, Bernkastel-Kues; the Adoration of the Magi in the Germanisches Nationalmuseum, Nuremberg; and the Crucifixion and Deposition of Christ at the Wallraf-Richartz Museum, Cologne.']"
Wilhelm_Morgner,painter,A,German painter (1891-1917),"['Wilhelm Morgner (27 January 1891, in Soest – 16 August 1917, near Langemark) was a German Expressionist painter and graphic artist.', 'His father was a former military band musician who later became a railroad worker.', 'His mother was artistically inclined and would publish a small book of poetry in 1920.', ""After his father's death in 1892, she struggled to support Wilhelm and his sister.Despite her inclinations and his talent, she wanted him to become a Protestant minister."", 'After only a brief time at the local gymnasium, he began to enquire about art classes.']"
Otto_Nagel,painter,A,German artist (1894-1967),"['Otto Nagel (27 September 1894 – 12 July 1967) was a German painter.', 'Born at Berlin-Wedding, Nagel was the son of a carpenter.', 'After completing his basic schooling he briefly entered into an apprenticeship with a stained glass painter, but soon broke this off.', 'In 1912 he joined the Social Democratic Party.', 'He was a conscientious objector during the First World War, and was imprisoned for refusing to serve.']"
Eduard_Bendemann,painter,A,German painter (1811-1889),"['Eduard Julius Friedrich Bendemann (3 December 1811, Berlin – 27 December 1889, Düsseldorf) was a German-Jewish painter.', 'Bendemann was born in Berlin.', 'His father, Anton Heinrich Bendemann, was a Jewish banker.', 'His mother, Fanny Eleonore Bendemann née von Halle, was a daughter of the Jewish banker Joel Samuel von Halle.', 'His father monitored his education closely and it would have naturally led him to some sort of technical occupation, but his talent and propensity towards art resulted in his being allowed to pursue other interests.']"
Charles_de_Steuben,painter,A,French painter (1788-1856),"['Charles Auguste Guillaume Steuben (April 18, 1788 – November 21, 1856), also Charles de Steuben, was a German-born French Romantic painter and lithographer active during the Napoleonic Era.', 'De Steuben was born the son of the Duke of Württemberg officer Carl Hans Ernst von Steuben.', 'At the age of twelve he moved with his father, who entered Russian service as a captain, to Saint Petersburg, where he studied drawing at the Art Academy classes as a guest student.', ""Thanks his father's social contacts in the court of the Tsar, in the summer of 1802 he accompanied the young Grand Duchess Maria Pavlovna of Russia (1786–1859) and granddaughter of Frederick II Eugene, Duke of Württemberg, to the Thuringian cultural city of Weimar, where the Tsar's daughter two years later married Charles Frederick, Grand Duke of Saxe-Weimar-Eisenach (1783–1853)."", 'Steuben, then fourteen years old, was a Page at the ducal court, a position for which the career prospects would be in the military or administration.']"
Tatiana_von_Metternich-Winneburg,painter,A,German patron of the arts of Russian birth,"['Princess Tatiana von Metternich-Winneburg (born Princess Tatiana Hilarionovna Vassiltchikova (Russian: Татья́на Илларио́новна Васи́льчикова); 1 January 1915 – 26 July 2006) was a Russian aristocrat, philanthropist, artist, and patron of the arts.', 'She published her books and watercolours under the name Tatiana von Metternich.', 'She supported charity, especially the Red Cross and the Order of St. Lazarus, which she served as Grand Bailiff for Germany.', 'She was a founding member of the Rheingau Musik Festival, made parts of Schloss Johannisberg available as concert venues for the festival and served as the president of its Kuratorium until her death.', 'Tatiana von Metternich-Winneburg was born in Saint Petersburg, the second daughter of Prince Hilarion Sergueïevitch Vassiltchikov (1881–1969), a member of the Russian Imperial Parliament Fourth Duma, and his wife, the former Princess Lidiya Leonidovna Vyazemskaya (1886–1946).']"
Robert_Gernhardt,painter,A,German artist (1937-2006),"['Robert Gernhardt (13 December 1937 – 30 June 2006) was a German writer, painter, graphic artist and poet.', 'Robert Gernhardt was born the son of a judge and a chemist in Tallinn, where his family was part of the Baltic German minority.', 'In 1939 they had to relocate to Poznań.', 'In 1945 his father was killed in the war, and after the end of the war, his mother fled west with her three sons Robert, Per, and Andreas, finally ending up in Göttingen, where Robert Gernhardt finished school in 1956.', ""Afterwards, he studied painting, first in Stuttgart and then at the Hochschule der Künste in Berlin, also doing German Studies at Berlin's Freie Universität.""]"
Tibor_Czorba,painter,A,Hungarian artist (1906-1985),"['Tibor Czorba (1906 in Szepesváralja – September 5, 1985 in Warsaw) was a Hungarian artist.', 'In 1929 he completed art school in Budapest and in 1938 at PIRR in Warsaw, Poland.', 'In 1944 he earned a doctorate in philosophy at the University of Budapest.', 'Czorba traveled a lot through France, Belgium, United Kingdom, Bulgaria, and the former Czechoslovakia.', 'He published many works in the field of history and literature in the form of textbooks and dictionaries.']"
Egon_Eiermann,architect,Z,architect,"[""Egon Eiermann (29 September 1904 – 20 July 1970) was one of Germany's most prominent architects in the second half of the 20th century."", 'Eiermann was born in Neuendorf bei Potsdam (now part of Babelsberg, Potsdam), and studied at the Technical University of Berlin.', 'He worked for the Karstadt building department for a time, and before World War II had an office with fellow architect Fritz Jaenecke.', 'He joined the faculty of the university in Karlsruhe in 1947, working there on  developing steel frame construction methods.', 'He died in Baden-Baden, aged 65.']"
Hermann_Helmer,architect,Z,German-Austrian architect,"['Hermann Gottlieb Helmer (13 July 1849 – 2 April 1919) was a German architect who mainly worked in Austria.', 'After completing an apprenticeship as a bricklayer, and some further education he joined the architecture firm of Ferdinand Fellner, Sr. After his death he founded the architecture studio Fellner & Helmer together with his son Ferdinand Fellner in 1873.']"
Georg_Wenzeslaus_von_Knobelsdorff,architect,Z,German artist (1699-1753),"['Hans Georg Wenzeslaus von Knobelsdorff (17 February 1699 – 16 September 1753) was a painter and architect in Prussia.', 'Knobelsdorff was born in Kuckädel, now in Krosno Odrzańskie County.', 'A soldier in the service of Prussia, he resigned his commission in 1729 as captain so that he could pursue his interest in architecture.', 'In 1740 he travelled to Paris and Italy to study at the expense of the new king, Frederick II of Prussia.', 'Knobelsdorff was influenced as an architect by French Baroque Classicism and by Palladian architecture.']"
Peter_Joseph_Lenné,architect,Z,Prussian gardener and landscape architect (1789-1866),"['Peter Joseph Lenné (the Younger) (29 September 1789 – 23 January 1866) was a Prussian gardener and landscape architect.', 'As director general of the Royal Prussian palaces and parks in Potsdam and Berlin, his work shaped the development of 19th-century German garden design in the Neoclassical style.', 'Laid-out according to the principles of the English landscape garden, his parks are today part of the UNESCO World Heritage.', 'Lenné was born in Bonn, then part of the Electorate of Cologne, the son of the court and university gardener Peter Joseph Lenné the Elder (1756–1821), and his wife, Anna Catharina Potgieter (also Potgeter), daughter of the mayor of Rheinberg.', ""The Lenné family descended from the Prince-Bishopric of Liège, Peter Joseph's ancestor Augustin Le Neu had settled in Poppelsdorf near Bonn as court gardener of Archbishop-Elector Maximilian Henry of Bavaria about 1665.""]"
Ernst_Ziller,architect,Z,"German architect, active in Greece","['Ernst Moritz Theodor Ziller (Greek: Ερνέστος Τσίλλερ, Ernestos Tsiller  (22 June 1837 – 4 November 1923) was a German born university teacher and architect who later became a Greek national.', 'In the late 19th and early 20th centuries, he was a major designer of royal and municipal buildings in Athens, Patras, and other Greek cities.', 'Ziller was born in the rural community of Serkowitz in the district of Radebeul in Saxony.', 'After graduating from the Dresden Academy of Fine Arts in 1858, he went to work for Danish architect Theophilus Hansen.', 'In 1861, Hansen sent him to Athens.']"
Friedrich_Adler_(architect),architect,Z,"Architect, archaeologist","['Friedrich Adler (15 October 1827 – 15 September 1908) was a German architect and archaeologist.', 'After having studied at the Bauakademie (Academy of Architecture) in his native Berlin, he began teaching there in 1855, and was soon famous for building churches.', ""In 1863 he was named a professor of architectural history at the Academy.Due to his profound knowledge of antique architecture, he took part of Ernst Curtius' archaeological expedition to Asia Minor."", 'He was part of the leading directory of the major excavations in Olympia (1874–81), and took part in the planning of the whole enterprise, which was at first scheduled to last no more than five years.', 'At one point, he was even leader of the excavations.']"
Friedrich_von_Gärtner,architect,Z,German architect,"['Friedrich von Gärtner (10 December 1791 in Koblenz – 21 April 1847 in Munich) was a German architect.', 'His father was also an architect, and moved in 1804 to Munich, where young Gärtner received his first education in architecture.', 'To complete that education, he went in 1812 to Paris, where he studied under Percier, and in 1814 to Italy, where he spent four years in the earnest study of antiquities.', 'The fruits of this labor appeared in 1819 in some views accompanied by descriptions of the principal monuments of Sicily (Ansichten der am meisten erhaltenen Monumente Siciliens).', 'After a visit to England, Gärtner was appointed, in 1820, professor of architecture in the Academy of Munich.']"
George_Bähr,architect,Z,German architect,"['George Bähr (15 March 1666 – 16 March 1738) was a German architect.', 'George Bähr was born into a poor family in Fürstenwalde (now a part of Geising, Saxony), the son of a weaver.', ""The village priest, however, helped pay for his education, and Bähr was able to become a carpenter's apprentice in Lauenstein, Saxony."", 'In 1690, Bähr went to Dresden to start work as a carpenter.', 'His dream was to go to Italy and see the famous buildings there, so in his spare time he studied mechanics, calling himself both an artist and a mechanic, and designing not only castles and palaces but also sketches of organs.']"
Werner_March,architect,Z,German architect,"['Werner Julius March (17 January 1894 – 11 January 1976) was a German architect, son of Otto March (1845-1913), and brother of Walter March, both also well-known German architects.', ""Otto March designed Germany's 1916 Olympic stadium."", 'Werner March was born in Charlottenburg and died in Berlin.', 'For the 1936 Summer Olympics in Germany, March created his most famous work, Berlin Olympic Stadium, which was on the site of the Deutsches Stadion, a stadium designed by his father, Otto March for use in the 1916 Summer Olympics (which were later cancelled after the outbreak of World War I).', ""It is unclear whether March was influenced to use a more conservative design to suit Nazi tastes (claimed by Albert Speer), or whether March devised a grand, sweeping architecture that anticipated the spirit of the Third Reich.The stadium, which has a capacity of 74,228, is one of the Germany's major sports venues and was used both for the 1974 and 2006 FIFA World Cup.""]"
Juan_de_Colonia,architect,Z,German architect,"['Juan de Colonia or Johannes von Köln (about 1410, Cologne – August 3, 1481, Burgos) was a gothic architect who introduced the flamboyant style to Castile.', 'About 1440 Juan de Colonia was invited by Alfonso de Cartagena, the then bishop of Burgos to work on Burgos Cathedral.', 'He also worked on the reconstruction of Miraflores Charterhouse.', 'While working in Burgos Juan married a local woman, María Fernández.', 'After his death, his son Simon succeeded him as master builder of the cathedral.']"
Ferdinand_von_Arnim,architect,Z,German artist (1814-1866),"['Heinrich Ludwig Ferdinand von Arnim (15 September 1814 – 23 March 1866) was a German architect and watercolour-painter.', 'He was a student of Karl Friedrich Schinkel and mainly worked in Berlin and Potsdam.', 'Arnim was born in Treptow an der Rega in Pomerania (present-day Trzebiatów, Poland), the son of Prussian Captain Friedrich Ludwig von Arnim and his wife Henriette, née Gadebusch.', 'He trained as a land surveyor and studied architecture at the Royal Prussian Building School (Bauakademie) in Berlin between 1833 and 1838.', ""Having completed his studies, he joined the Berlin Architects' Association in 1839, from 1840 he worked as site foreman under Friedrich Ludwig Persius and in 1844 was appointed building inspector official.""]"
Hermann_Henselmann,architect,Z,German architect (1905-1995),"['Hermann Henselmann (3 February 1905, in Roßla – 19 January 1995, in Berlin) was a German architect most famous for his buildings constructed in East Germany during the 1950s and 1960s.', 'Henselmann studied at the Kunstgewerbeschule in Berlin from 1922 to 1925.', ""His early projects, such as a house on Lake Geneva near Montreux (1930) were Modernist in style, showing a clear Bauhaus influence, and due to this and Henselmann's partly Jewish ancestry he was prevented from working as a private architect by the Nazi government."", 'After the war he was appointed head architect in the city of Gotha and later in Weimar in the Soviet Zone of Germany, although his projects were subjected to harsh criticism for their Modernism.', ""He served in Hans Scharoun's town planning group that tried to convert the Socialist Unity Party of Germany's leaders to Modernism, although unlike Scharoun, Henselmann stayed in East Berlin after their rejection.""]"
Bruno_Paul,architect,Z,German architect (1874-1968),"['Bruno Paul (19 January 1874 – 17 August 1968) was a German architect, illustrator, interior designer, and furniture designer.', 'Paul was born in Seifhennersdorf, a village in rural Saxony, in 1874.', 'His father was an independent tradesman, craftsman, and dealer in building materials.', ""At twelve years old Paul left Seifhennersdorf for Dresden, where he briefly attended Gymnasium before entering a teacher's training school."", 'By 1892 he was determined to pursue a career in the arts.']"
Ernst_Neufert,architect,Z,German architect,"[""Ernst Neufert (15 March 1900 – 23 February 1986) was a German architect who is known as an assistant of Walter Gropius, as a teacher and member of various standardization organizations, and especially for his essential handbook Architects' data."", 'Ernst Neufert was born in Freyburg an der Unstrut.', 'At the age of 17, after five years of working as a bricklayer, Neufert entered the school of construction (Baugewerbeschule) in Weimar.', 'His teacher recommended him to Walter Gropius in 1919 as one of his first students of the Bauhaus.', 'He finished his studies in 1920, and together with the expressionist architect Paul Linder (1897-1968) embarked on a year-long study tour of Spain, where he sketched medieval  churches.']"
Benedikt_Rejt,architect,Z,Czech architect,"['Benedikt Rejt (often spelled Benedikt Ried, also known as Benedikt Rieth, Benedikt Reyd, or Benedict Reijt.', 'In Czech, he often has the epithet ""of Pístov"" [a village in the Czech Republic or on the Piesting?]', 'or ""of Louny""; c. 1450 – between 1531 and 1536) was a leading medieval architect in Bohemia, today\'s Czech Republic.', ""He built Vladislav Hall (1497–1500) in Prague Castle, St. Barbara's Church, Kutna Hora, (c. 1482) and other buildings in a Late Gothic and early Renaissance style."", ""Bohemia became the cultural center of Central Europe when Charles IV brought the Holy Roman Emperor's court to Prague in the 14th century.""]"
Paul_Giesler,architect,Z,"German Nazi Party functionary, Premier of Bavaria (1895-1945)","['Paul Giesler (15 June 1895 – 8 May 1945) was a German Nazi Party functionary responsible for acts of brutality which included killing opponents of the regime in southern Germany.', 'He first joined the Nazi Party (NSDAP) in 1922; he reenrolled on 1 January 1928 with Party number 72,741.', 'From 1941 he was Gauleiter of Westphalia-South (Westfalen-Süd) and in 1942 was appointed to the position for the Gau Munich-Upper Bavaria (Gau München-Oberbayern).', 'From 2 November 1942 to 28 April 1945 he was also Minister-President (Ministerpräsident) of Bavaria.', 'The trained architect was from 1924 a Party speaker, from 1929 a Nazi Party district leader (Ortsgruppenleiter), and from January 1931 a member of the SA.']"
Richard_Cassels,architect,Z,Irish architect,"['Richard Cassels (1690 – 1751), also known as Richard Castle, was an architect who ranks with Edward Lovett Pearce as one of the greatest architects working in Ireland in the 18th century.', 'Cassels was born in 1690 in Kassel, Germany.', ""Although German, his family were of French origin, and descended from the French-Netherlandish  'Du Ry' family, famous for the many architects among their number."", 'A cousin Simon du Ry designed Schloss Wilhelmshöhe in Kassel.', 'Richard Cassels, who originally trained as an engineer, came to Ireland in 1728 at the behest of Sir Gustavus Hume of County Fermanagh to design for Hume a mansion on the shores of Lower Lough Erne.']"
Elias_Holl,architect,Z,German architect,"['Elias Holl (28 February 1573 in Augsburg – 6 January 1646 in Augsburg)  was the most important architect of late German Renaissance architecture.', 'Elias Holl was born in Augsburg, Werbhausgasse 2.', 'He was descended from a master-builder-Family.', 'His father Hans Holl (1512-1594) taught him.', 'In 1596 he passed the exam, the Meisterprüfung.']"
Hermann_Finsterlin,architect,Z,German architect and composer (1887-1973),"['Hermann Finsterlin (18 August 1887 – 16 September 1973) was a German visionary architect, painter, poet, essayist, toymaker and composer.', 'He played an influential role in the German expressionist architecture movement of the early 20th century but due to the harsh economic climate realised none of his projects.', 'By 1922, Finsterlin had withdrawn from the circle of expressionist architects as they moved towards the New Objectivity movement, he moved to Stuttgart to concentrate on painting and writing.', 'Finsterlin was born in Munich.', 'He originally studied medicine, physics and chemistry, and then later, philosophy and painting in Munich.']"
Friedrich_Wilhelm_von_Erdmannsdorff,architect,Z,German architect,"['Friedrich Wilhelm Freiherr von Erdmannsdorff (18 May 1736 – 9 March 1800) was a German architect and architectural theoretician, and one of the most significant representatives of early German Neoclassicism during the Age of Enlightenment.', 'His work included Wörlitz Palace in the present-day Dessau-Wörlitz Garden Realm, one of the earliest Palladian buildings on the European continent.', 'His most well-known student was Friedrich Gilly, the teacher of Karl Friedrich Schinkel.', 'Erdmannsdorff was born in Dresden to the Saxon courtier, Baron Ernst Ferdinand von Erdmannsdorff, and his wife Henriette Margarethe, née von Heßler.', 'After early stages of education with Jakob Mauvillon in Leipzig and at the Dresden knight academy from 1750 to 1754, Erdmannsdorff attended the University of Wittenberg in 1754–1758, where he encountered Prince Franz von Anhalt-Dessau, whose service he entered in 1758.']"
Ole_Scheeren,architect,Z,German architect,"['Ole Scheeren (born 6 January 1971) is a German architect, urbanist and principal of Büro Ole Scheeren Group with offices in Beijing, Hong Kong, Berlin and Bangkok and a visiting professor at the University of Hong Kong since January 2010.', ""Ole Scheeren is the son of the German architect Dieter Scheeren, who was a professor of architecture and civil engineering at the RheinMain University of Applied Sciences in Wiesbaden, Hesse.Already at the age of 14 he was working at his father's office designing furniture and finished his first architectural project at the age of 21."", 'As a twenty-year-old he traveled with his rucksack through rural China and lived there with the locals spending three months before his studies began.', 'Ole Scheeren studied at the Institute of Technology (KIT) in Karlsruhe, at the École Polytechnique Fédérale (EPFL) in Lausanne and made a thesis at the Architectural Association School of Architecture in London receiving the RIBA Silver Medal in 2000 for his work called ""MexT Project"" which analysed social, territorial and economical phenomena in relation with space and architecture.After working in Germany, New York and London, Ole Scheeren began his work at the Office for Metropolitan Architecture (OMA) in Rotterdam in 1995.', ""In 2002 he became Partner and Director of the offices in Beijing and Hong Kong and responsible for the entire Asia business for more than 10 years.As Partner-in-charge of OMA's largest project to date, he successfully led the realization of the China Central Television Station (CCTV) and the Television Cultural Centre (TVCC) in Beijing.""]"
Max_Berg,architect,Z,German architect,"['Max Berg (17 April 1870 – 22 January 1947) was a German architect and urban planner.', 'Berg was born in Stettin (now Szczecin, Poland) in Pomerania, then part of the German Empire.', 'He attended the Technical University in Charlottenburg, where he was taught by Carl Schäfer who favoured Gothic architecture.', 'Berg was also taught by Franz Adickes (1846–1915), an important urban planner.In 1909 Berg was appointed senior building official in Breslau (now Wrocław, Poland), in Silesia.', 'His most notable contribution to architecture is the Jahrhunderthalle (Centennial Hall) built between 1911 and 1913 as part of a series of works commemorating the 100th anniversary of the 1813 War of Liberation against Napoleon Bonaparte.']"
Teoberto_Maler,architect,Z,German Mesoamericanist,"['Teobert Maler, later Teoberto (12 January 1842 – 22 November 1917) was an explorer who devoted his energies to documenting the ruins of the Maya civilization.', 'Teobert Maler was born in Rome to German parents.', 'His father was a diplomat for the Duchy of Baden.', 'Maler studied architecture and engineering in Karlsruhe, then at the age of 21 moved to Vienna where he took a job with architect Heinrich von Ferstel, and became an Austrian citizen.', 'He was eager to see more of the world and went to Mexico as a soldier with Emperor Maximilian.']"
Oswald_Mathias_Ungers,architect,Z,German architect,"['Oswald Mathias Ungers (12 July 1926 – 30 September 2007) was a German architect and architectural theorist, known for his rationalist designs and the use of cubic forms.', 'Among his notable projects are museums in Frankfurt, Hamburg and Cologne.', 'Oswald Mathias Ungers was born in Kaisersesch in the Eifel region.', 'From 1947 to 1950 he studied architecture at the University of Karlsruhe under Egon Eiermann.', 'He set up an architectural practice in Cologne in 1950, and opened offices in Berlin in 1964, Frankfurt in 1974 and Karlsruhe in 1983.']"
Friedrich_Sustris,architect,Z,"German-Dutch painter, decorator and architect (1540-1599)","['Friedrich Sustris (c. 1540, in Padua – 1599, in Munich) was an Italian-Dutch painter, decorator and architect.', 'He was a son of the artist Lambert Sustris, who worked in Italy.', 'Sustris got his training from his father Lambert in Venice and Padua.', 'From 1563 to 1567 he was trained by Giorgio Vasari in Florence, after he had returned from a stay in Rome in 1560.', 'His first patron was Hans Fugger who ordered the decoration of the Fugger mansion in Venice.']"
Max_Littmann,architect,Z,German architect,"['Max Littmann (3 January 1862 – 20 September 1931) was a German architect.', 'Littmann was educated in the Gewerbeakademie Chemnitz and the Technische Hochschule Dresden.', 'In 1885, he moved to Munich where he met Friedrich Thiersch and Gabriel von Seidl and where - after two study trips to Italy and Paris - he established himself as a free architect.', 'In 1891, he joined the contracting business of his father-in-law Jakob Heilmann, thus transforming it into the Heilmann & Littmann general partnership (later becoming a limited partnership), taking charge of the planning department.', 'Littmann excelled in the erection of magnificent buildings, e. g. theaters, department stores and spas and was the perfect supplement to Heilmann, who had specialized in living house construction.']"
Heini_Klopfer,architect,Z,Builder of ski jump hills,"['Heinrich ""Heini"" Klopfer (3 April 1918 in Oberstdorf – 18 November 1968) was a German ski jumper and architect.', 'At age 17, Klopfer was selected for trials for the 1936 Winter Olympics, but failed to qualify.', 'After World War II Klopfer, Sepp Weiler and Toni Brutscher became known as the Oberstdorf Jumping Trio.', 'He started working with construction of ski jumping hill.', 'Kopfler has designed or been adviser for more than 250 hills.']"
